,Unnamed: 0,restaurant,category,food,price
129,129.0,فست فود زرین مشرق زمین,برگر,چیکن سوخاری ," ۱۶۵,۰۰۰ تومان"
130,130.0,فست فود زرین مشرق زمین,برگر,بولزانو برگر ," ۲۲۳,۰۰۰ تومان"
131,131.0,فست فود زرین مشرق زمین,برگر,میکس برگر ," ۲۲۰,۰۰۰ تومان"
132,132.0,فست فود زرین مشرق زمین,برگر,چیکن برگر ," ۱۲۵,۰۰۰ تومان"
133,133.0,فست فود زرین مشرق زمین,ساندویچ,ساندویچ هات داگ ," ۱۶۰,۰۰۰ تومان"
134,134.0,فست فود زرین مشرق زمین,ساندویچ,ساندویچ پیتزا ," ۱۱۰,۰۰۰ تومان"
135,135.0,فست فود زرین مشرق زمین,ساندویچ,ساندویچ هات داگ تنوری ," ۲۰۹,۰۰۰ تومان"
136,136.0,فست فود زرین مشرق زمین,ساندویچ,ساندویچ چیلی هات دات ," ۱۵۶,۰۰۰ تومان"
137,137.0,فست فود زرین مشرق زمین,ساندویچ,ساندویچ هات برگر ," ۲۰۹,۰۰۰ تومان"
138,138.0,فست فود زرین مشرق زمین,ساندویچ,ساندویچ هات چیکن ," ۲۲۰,۰۰۰ تومان"
139,139.0,فست فود زرین مشرق زمین,ساندویچ,ساندویچ هات اسپشیال ," ۲۴۲,۰۰۰ تومان"
140,140.0,فست فود زرین مشرق زمین,ساندویچ,ساندویچ هات داگ زرین ," ۱۹۳,۰۰۰ تومان"
141,141.0,فست فود زرین مشرق زمین,ساندویچ,ساندویچ تنوری زرین ," ۱۶۷,۰۰۰ تومان"
142,142.0,فست فود زرین مشرق زمین,ساندویچ,ساندویچ جولین ," ۲۱۹,۰۰۰ تومان"
143,143.0,فست فود زرین مشرق زمین,ساندویچ,ساندویچ زرین سوخاری ," ۲۲۰,۰۰۰ تومان"
144,144.0,فست فود زرین مشرق زمین,ساندویچ,ساندویچ آلما ," ۱۹۳,۰۰۰ تومان"
145,145.0,فست فود زرین مشرق زمین,ساندویچ,ساندویچ بولزانو ," ۲۲۶,۰۰۰ تومان"
146,146.0,فست فود زرین مشرق زمین,ساندویچ,ساندویچ دوما ," ۲۳۰,۰۰۰ تومان"
147,147.0,فست فود زرین مشرق زمین,سوخاری,چیکن استریپس ۳ تیکه ," ۱۷۹,۰۰۰ تومان"
148,148.0,فست فود زرین مشرق زمین,سوخاری,چیکن استریپس پنج تکه ," ۲۱۹,۵۰۰ تومان"
149,149.0,فست فود زرین مشرق زمین,سوخاری,سبد لایت زرین ," ۲۹۲,۵۰۰ تومان"
150,150.0,فست فود زرین مشرق زمین,سوخاری,فراید زرین ," ۲۴۰,۰۰۰ تومان"
151,151.0,فست فود زرین مشرق زمین,منوی اقتصادی,مرغ سوخاری ۱۵ تکه  ," ۱,۲۱۰,۰۰۰ تومان"
152,152.0,فست فود زرین مشرق زمین,منوی اقتصادی,مرغ سوخاری نه تکه ," ۱,۳۷۰,۰۰۰ تومان"
153,153.0,فست فود زرین مشرق زمین,منوی اقتصادی,سوپر وینگز ," ۷۱۵,۰۰۰ تومان"
154,154.0,فست فود زرین مشرق زمین,منوی اقتصادی,سبد سوخاری ," ۷۸۸,۵۰۰ تومان"
155,155.0,فست فود زرین مشرق زمین,پیش غذا,سیب زمینی ویژه ," ۲۱۵,۰۰۰ تومان"
156,156.0,فست فود زرین مشرق زمین,پیش غذا,چیزی چیکن ," ۱۹۸,۰۰۰ تومان"
157,157.0,فست فود زرین مشرق زمین,پیش غذا,سیب زمینی ," ۹۵,۰۰۰ تومان"
158,158.0,فست فود زرین مشرق زمین,پیش غذا,سیب زمینی ," ۶۵,۰۰۰ تومان"
159,159.0,فست فود زرین مشرق زمین,پیش غذا,نان سیر ," ۱۱۲,۰۰۰ تومان"
160,160.0,فست فود زرین مشرق زمین,پیش غذا,کتف و بال سوخاری ," ۱۶۱,۰۰۰ تومان"
161,161.0,فست فود زرین مشرق زمین,سالاد,بشقاب رژیمی ," ۲۳۱,۰۰۰ تومان"
162,162.0,فست فود زرین مشرق زمین,سالاد,سالاد فیله سوخاری ," ۲۵۶,۰۰۰ تومان"
163,163.0,فست فود زرین مشرق زمین,سالاد,سالاد سزار ," ۱۹۷,۰۰۰ تومان"
164,164.0,فست فود زرین مشرق زمین,نوشیدنی,دوغ قوطی ," ۱۹,۵۰۰ تومان"
165,165.0,فست فود زرین مشرق زمین,نوشیدنی,لیموناد قوطی ," ۱۹,۵۰۰ تومان"
166,166.0,فست فود زرین مشرق زمین,نوشیدنی,نوشابه قوطی ," ۱۹,۵۰۰ تومان"
167,167.0,فست فود زرین مشرق زمین,نوشیدنی,ماءالشعیر قوطی هی دی ," ۱۹,۵۰۰ تومان"
168,168.0,فست فود زرین مشرق زمین,نوشیدنی,آب معدنی کوچک ," ۱۹,۵۰۰ تومان"
169,169.0,کباب بره صوفیا,کباب,خوراک کباب بناب اصل ," ۲۷۰,۰۰۰ تومان"
170,170.0,کباب بره صوفیا,کباب,خوراک کباب کوبیده ," ۹۳,۰۰۰ تومان"
171,171.0,کباب بره صوفیا,کباب,خوراک کباب لقمه ," ۱۵۵,۰۰۰ تومان"
172,172.0,کباب بره صوفیا,کباب,خوراک کباب کوبیده مرغ ," ۵۵,۰۰۰ تومان"
173,173.0,کباب بره صوفیا,کباب,خوراک کباب میکس ," ۱۴۸,۰۰۰ تومان"
174,174.0,کباب بره صوفیا,کباب,خوراک کباب شیشلیک مخصوص ," ۳۹۰,۰۰۰ تومان"
175,175.0,کباب بره صوفیا,کباب,خوراک کباب برگ ," ۳۰۵,۰۰۰ تومان"
176,176.0,کباب بره صوفیا,کباب,خوراک کباب سلطانی ," ۴۲۵,۰۰۰ تومان"
177,177.0,کباب بره صوفیا,کباب,خوراک کباب نگینی مخصوص ," ۱۵۰,۰۰۰ تومان"
